threshold,tp,fp,tn,fn,accuracy,macro_f1,weighted_f1,fpr,fnr,mcc,model,window,threshold_q,persistence,threshold_resolved,fa_per_hour,dns_delay_s,dns_detected,gtpu_delay_s,gtpu_detected,dns_sustained,gtpu_sustained
8.379230712307617e-05,1380,22,132094,3516,0.9741774443114471,0.7125096783576622,0.9671830353403919,0.00016652033061854735,0.7181372549019608,0.5195885530351377,lstm,7,0.999,5,8.379230712307617e-05,0.005301319333452161,25.363,True,,False,0.9864188706218727,0.0
0.9153558611869812,101,1,132115,4795,0.9649957667941494,0.5112944466331134,0.948519907197046,7.569105937206697e-06,0.9793709150326797,0.14034641650599491,lstm,7,0.9999,1,0.9153558611869812,0.005301319333452161,16.022,True,,False,0.07219442458899214,0.0
0.9153558611869812,101,1,132115,4795,0.9649957667941494,0.5112944466331134,0.948519907197046,7.569105937206697e-06,0.9793709150326797,0.14034641650599491,lstm,7,0.9999,2,0.9153558611869812,0.0,113.47,True,,False,0.07219442458899214,0.0
0.9153558611869812,101,1,132115,4795,0.9649957667941494,0.5112944466331134,0.948519907197046,7.569105937206697e-06,0.9793709150326797,0.14034641650599491,lstm,7,0.9999,3,0.9153558611869812,0.0,118.595,True,,False,0.07219442458899214,0.0
0.9153558611869812,101,1,132115,4795,0.9649957667941494,0.5112944466331134,0.948519907197046,7.569105937206697e-06,0.9793709150326797,0.14034641650599491,lstm,7,0.9999,5,0.9153558611869812,0.0,128.83,True,,False,0.07219442458899214,0.0
0.5,906,3,132113,3990,0.970856567307973,0.6486288071532583,0.9610650007014898,2.270731781162009e-05,0.8149509803921569,0.4230737843110623,lstm,7,default,1,0.5,0.005301319333452161,16.022,True,,False,0.6476054324517513,0.0
0.5,906,3,132113,3990,0.970856567307973,0.6486288071532583,0.9610650007014898,2.270731781162009e-05,0.8149509803921569,0.4230737843110623,lstm,7,default,2,0.5,0.005301319333452161,21.162,True,,False,0.6476054324517513,0.0
0.5,906,3,132113,3990,0.970856567307973,0.6486288071532583,0.9610650007014898,2.270731781162009e-05,0.8149509803921569,0.4230737843110623,lstm,7,default,3,0.5,0.005301319333452161,30.544,True,,False,0.6476054324517513,0.0
0.5,906,3,132113,3990,0.970856567307973,0.6486288071532583,0.9610650007014898,2.270731781162009e-05,0.8149509803921569,0.4230737843110623,lstm,7,default,5,0.5,0.0,40.828,True,,False,0.6476054324517513,0.0
4.3717308419177765e-14,1296,10526,121598,3600,0.896905561231937,0.5500731345515829,0.9168733205974349,0.07966758499591294,0.7352941176470589,0.12232888343519313,tcn,3,0.9,1,4.3717308419177765e-14,5.173774382678128,,False,10.284,True,0.5017869907076483,0.16985987989705462
